gene,frequency
l(3)L1231,0.0
l(3)72Dp,0.0
l(3)72Dn,0.0
l(2)not,0.0
l(2)k05819,0.0
l(2)efl,0.0
l(2)37Cg,0.0
l(1)G0469,0.0
l(1)G0020,0.0
lace,0.0
Mdr49,0.0
mdlc,0.0
MCU,0.0
Mct1,0.0
MCPH1,0.0
Mbs,0.0
mbl,0.0
mbc,0.0
Mau2,0.0
Mat89Ba,0.0
Mapmodulin,0.0
Lmpt,0.0
Mal-A5,0.0
Magi,0.0
mAChR-B,0.0
mAChR-A,0.0
lva,0.0
luna,0.0
Lsm11,0.0
Lsd-2,0.0
Lrrk,0.0
Lrr47,0.0
LRR,0.0
mamo,0.0
e(y)3,0.0
ewg,0.0
euc,0.0
Esyt2,0.0
E(spl)m6-BFM,0.0
esn,0.0
esc,0.0
Epg5,0.0
E(Pc),0.0
Epac,0.0
emp,0.0
Elp2,0.0
heph,0.0
elav,0.0
Eip93F,0.0
Eip75B,0.0
Eip74EF,0.0
Eip63E,0.0
eIF4EHP,0.0
eIF2Bepsilon,0.0
egh,0.0
eEFSec,0.0
Edem1,0.0
ed,0.0
ECSIT,0.0
EcR,0.0
Elk,0.0
fz2,0.0
Fur1,0.0
fu12,0.0
ftz-f1,0.0
Fs,0.0
fru,0.0
frtz,0.0
Frq1,0.0
fok,0.0
foi,0.0
FMRFaR,0.0
FLASH,0.0
eys,0.0
Fili,0.0
Fife,0.0
Fhos,0.0
Fer2LCH,0.0
Fer1,0.0
fend,0.0
Fen1,0.0
FBXO11,0.0
fat-spondin,0.0
Fas3,0.0
Fas2,0.0
FAM21,0.0
faf,0.0
Fit2,0.0
Dok,0.0
dnr1,0.0
DNApol-eta,0.0
dmrt99B,0.0
dlp,0.0
Dll,0.0
Dlip1,0.0
dl,0.0
disco,0.0
Dis3l2,0.0
DIP-zeta,0.0
DIP-theta,0.0
EbpIII,0.0
DIP2,0.0
Dif,0.0
DhpD,0.0
Dhit,0.0
Dhfr,0.0
Dh44-R2,0.0
