model,MAE_median,MAE_lo,MAE_hi,RMSE_median,RMSE_lo,RMSE_hi,MedAE_median,MedAE_lo,MedAE_hi,R2_median,R2_lo,R2_hi,Pearson_median,Pearson_lo,Pearson_hi,Spearman_median,Spearman_lo,Spearman_hi
Dummy,9.402762994252164,9.235607580824974,9.41289173230552,12.863129909920895,12.422549159962378,12.86953706860493,8.181969949916528,8.1669449081803,8.26923076923077,-0.0006482003311143458,-0.0008089811453642071,-0.0002307490415951463,,,,,,
LinearRegression,5.9869363040487125,5.834799870406552,6.318072661064429,8.445516776952939,8.070296977987054,8.917265042242903,4.193354010760757,4.094462250890675,4.444859634297025,0.5688811897069346,0.5149105234959753,0.6066733399017659,0.7560272585265981,0.7181638475197717,0.7819374035901921,0.7044168758869879,0.6877522428246569,0.7162746117121567
ElasticNet,5.7344387817224165,5.518651905442254,5.893364927735927,8.095780164744104,7.879194171871554,8.456524709422,3.9792956682951077,3.784610468549129,4.26169528463736,0.581116330012256,0.5438473416689107,0.6170764414959865,0.7682424155256116,0.7457311027735968,0.8004792855062335,0.7382027477180263,0.723183002265471,0.7472760119646483
SVR,6.126274164426151,5.9598023932135655,6.314460469300974,8.90528018651621,8.71097751076714,9.172379517964318,3.8121559851854787,3.5562855104580215,4.123369763097511,0.49924231210024195,0.47870986306048957,0.5371205728277496,0.7074523687495841,0.692993248461978,0.7387525890950337,0.7199017927899396,0.6766756455883605,0.7398168385179867
RandomForest,4.629290927736023,4.502157632798253,4.9188467882655225,7.4475946581230765,7.28131175404734,8.027557087737888,2.459832084722441,2.3127812546930215,2.530454258463079,0.6607080342845529,0.5972529569036706,0.6731911764969167,0.824973842331489,0.776509730541127,0.8307001988142262,0.8003972039964949,0.7856156236126883,0.808884793133087
RandomForest_authors,5.5196675628028355,5.4327935147556,5.6568219433563,8.541966078109455,8.27128167678394,8.882568570362691,3.278597554929698,3.1363050915451236,3.3490708937059726,0.5437990471345453,0.5231296422419877,0.5621178356048504,0.7487890654394227,0.7276939966453867,0.765251380986098,0.6901867728204137,0.6710609169531992,0.7222280843883143
XGBoost,4.661847202669854,4.47873239249191,4.798065165281296,7.368946908667533,7.104373079927656,7.648667044403744,2.5806392431259155,2.3885672092437744,2.8080302476882935,0.651743659374154,0.642560549221626,0.690223102997541,0.8249627836033779,0.8067623456834716,0.8451040665623233,0.7811935767339112,0.7701568554136469,0.793074530534205
