gene,frequency
kn,0.0
klu,0.0
cutlet,0.0
Klp67A,0.0
klg,0.0
Hex-A,0.0
CycB3,0.0
kibra,0.0
ct,0.0
Lsd-2,0.0
LRP1,0.0
LpR2,0.0
CR46148,0.0
LpR1,0.0
loco,0.0
lncRNA:TS9,0.0
Lmx1a,0.0
Lmpt,0.0
CR46208,0.0
Lip4,0.0
Lcp3,0.0
Lim3,0.0
Lim1,0.0
Lgr4,0.0
lft,0.0
CR46245,0.0
Lfg,0.0
CR46322,0.0
crb,0.0
lectin-46Cb,0.0
lectin-28C,0.0
CrebA,0.0
lcs,0.0
Lip3,0.0
dpr1,0.0
FMRFa,0.0
fkh,0.0
fit,0.0
Fim,0.0
Fili,0.0
Fife,0.0
dpr10,0.0
Fer3HCH,0.0
dpr11,0.0
dpr13,0.0
Cys,0.0
Fer2,0.0
Fer1,0.0
fend,0.0
dpr18,0.0
fd102C,0.0
Fbxl7,0.0
fbp,0.0
fax,0.0
dpr2,0.0
dpr20,0.0
dpr21,0.0
dpr17,0.0
disco-r,0.0
fz3,0.0
fz2,0.0
fz,0.0
fw,0.0
Dll,0.0
fusl,0.0
Fur1,0.0
FucTB,0.0
dlp,0.0
ftz-f1,0.0
fng,0.0
fru,0.0
Frq2,0.0
dmt,0.0
frma,0.0
frm,0.0
fred,0.0
DNApol-alpha60,0.0
dnc,0.0
Doc3,0.0
foxo,0.0
Dop1R1,0.0
Dop1R2,0.0
Fs,0.0
Drep1,0.0
Drep3,0.0
Ekar,0.0
Eip93F,0.0
Drgx,0.0
Eip74EF,0.0
Eip63F-1,0.0
Drip,0.0
eIF4E6,0.0
Drl-2,0.0
eIF3m,0.0
Fas3,0.0
Eglp4,0.0
Egfr,0.0
Drsl4,0.0
eEF1alpha2,0.0
Drsl5,0.0
ed,0.0
ect,0.0
Dscam3,0.0
ec,0.0
EbpIII,0.0
dve,0.0
Eaat1,0.0
egr,0.0
dpr3,0.0
dpr6,0.0
Fas2,0.0
dpr8,0.0
fabp,0.0
eys,0.0
e(y)2b,0.0
ey,0.0
exu,0.0
dpr9,0.0
euc,0.0
elB,0.0
Esyt2,0.0
Est-6,0.0
E(spl)m3-HLH,0.0
esn,0.0
erm,0.0
Dr,0.0
Epac,0.0
drd,0.0
ems,0.0
emp,0.0
emc,0.0
Dredd,0.0
Ets65A,0.0
dati,0.0
daw,0.0
GstE3,0.0
GstE2,0.0
GstE12,0.0
GstE1,0.0
Daxx,0.0
Dbi,0.0
GstD3,0.0
GstD2,0.0
GstD11,0.0
fzo,0.0
GstD1,0.0
DCX-EMAP,0.0
Gs2,0.0
grn,0.0
grk,0.0
grim,0.0
grh,0.0
Ddc,0.0
dgo,0.0
dgt2,0.0
Grd,0.0
dbr,0.0
heph,0.0
hebe,0.0
HDAC6,0.0
d,0.0
hbs,0.0
hbn,0.0
Haspin,0.0
D,0.0
dac,0.0
haf,0.0
Gycbeta100B,0.0
GstE4,0.0
Gyc32E,0.0
dally,0.0
GV1,0.0
gukh,0.0
GstT4,0.0
GstT3,0.0
GstS1,0.0
GstE9,0.0
dap,0.0
Dat,0.0
GstE6,0.0
GstE5,0.0
Gyc88E,0.0
GEFmeso,0.0
Gbs-70E,0.0
Gbp1,0.0
DIP-alpha,0.0
DIP-beta,0.0
DIP-delta,0.0
Gbeta76C,0.0
Gba1b,0.0
DIP-eta,0.0
Gat,0.0
Gasp,0.0
Gr66a,0.0
DIP-gamma,0.0
DIP-iota,0.0
DIP-theta,0.0
DIP-zeta,0.0
Galphaq,0.0
Galphao,0.0
Galphai,0.0
Gadd45,0.0
Gad1,0.0
GABA-B-R3,0.0
disco,0.0
fzr2,0.0
Gas8,0.0
Gr33a,0.0
Gpb5,0.0
dgt4,0.0
Gp150,0.0
dgt6,0.0
Dh31,0.0
Dh44,0.0
gogo,0.0
goddard,0.0
GluRIB,0.0
GluRIA,0.0
Gel,0.0
Dhc62B,0.0
Dhc98D,0.0
glec,0.0
GlcAT-P,0.0
GILT1,0.0
Ggamma30A,0.0
gfzf,0.0
Dhfr,0.0
Dic61B,0.0
Gfrl,0.0
Dif,0.0
dila,0.0
Dh44-R2,0.0
Sp1,0.0
SoxN,0.0
Sox21b,0.0
Sox21a,0.0
Sox15,0.0
Sox102F,0.0
soti,0.0
sosie,0.0
sona,0.0
Sod3,0.0
snRNA:U2:34ABa,0.0
snRNA:U11,0.0
sNPF,0.0
CR45968,0.0
snoRNA:U14:30Eb,0.0
snoRNA:Psi28S-3308,0.0
snoRNA:Psi28S-2949,0.0
snoRNA:Psi28S-2648,0.0
snoRNA:Psi28S-1153,0.0
snoRNA:Psi18S-640f,0.0
snoRNA:Psi18S-1397,0.0
snoRNA:Psi18S-1377a,0.0
snoRNA:Or-CD4,0.0
snoRNA:Or-CD12,0.0
snoRNA:Me28S-U1848,0.0
snoRNA:2R:9445205,0.0
SmydA-8,0.0
SmydA-7,0.0
Snp,0.0
stops,0.0
sti,0.0
stet,0.0
ste24b,0.0
stan,0.0
stai,0.0
stac,0.0
ST6Gal,0.0
st,0.0
ssp6,0.0
ssp2,0.0
ss,0.0
sro,0.0
spab,0.0
sr,0.0
sqz,0.0
Sps2,0.0
SPR,0.0
Spps,0.0
spn-D,0.0
Spn88Ea,0.0
Spn75F,0.0
Spn43Ab,0.0
Spn27A,0.0
sphinx1,0.0
spdo,0.0
spd-2,0.0
Spat,0.0
Src64B,0.0
scpr-A,0.0
Scp2,0.0
Scp1,0.0
Sclp,0.0
scaRNA:MeU5-C46,0.0
scaf,0.0
sca,0.0
santa-maria,0.0
sano,0.0
Samuel,0.0
salr,0.0
sage,0.0
RYa,0.0
SmydA-3,0.0
RunxA,0.0
ru,0.0
rtp,0.0
rst,0.0
Rpt3R,0.0
RpS9,0.0
RpS5b,0.0
RpS21,0.0
RpS16,0.0
RpS15Aa,0.0
RpS14b,0.0
RpS12,0.0
rpr,0.0
RpL9,0.0
RunxB,0.0
Smurf,0.0
smal,0.0
slx1,0.0
Slob,0.0
SLO2,0.0
slif,0.0
sktl,0.0
Skp2,0.0
skl,0.0
Sk1,0.0
SK,0.0
Sirup,0.0
sim,0.0
scpr-C,0.0
Sidpn,0.0
side,0.0
shg,0.0
Shawl,0.0
shakB,0.0
Shab,0.0
Sfp24Bc,0.0
SF1,0.0
serp,0.0
Send2,0.0
Sema2b,0.0
Sema1b,0.0
s-cup,0.0
scro,0.0
SIFa,0.0
app,0.0
APC7,0.0
AOX3,0.0
aop,0.0
AnxB9,0.0
antdh,0.0
Ank2,0.0
Ance,0.0
ana,0.0
alrm,0.0
alphagamma-element:CR32865,0.0
alpha-Est7,0.0
alpha-Est1,0.0
stumps,0.0
AGO3,0.0
Adgf-A,0.0
ade2,0.0
AdamTS-A,0.0
ACXD,0.0
ACXC,0.0
twit,0.0
tut,0.0
tup,0.0
Tsp5D,0.0
Tsp42Er,0.0
Tsp42Ei,0.0
Tsp42Eh,0.0
Tsp42Eg,0.0
Vm32E,0.0
Vkor,0.0
VGlut,0.0
VGAT,0.0
vg,0.0
verm,0.0
VepD,0.0
VAChT,0.0
v,0.0
Usp39,0.0
UQCR-11L,0.0
unpg,0.0
unc-13-4A,0.0
UK114,0.0
Arc2,0.0
Uhg5,0.0
Uhg4,0.0
Uhg1,0.0
