family,model,MAE_median,MAE_lo,MAE_hi,RMSE_median,RMSE_lo,RMSE_hi,MedAE_median,MedAE_lo,MedAE_hi,R2_median,R2_lo,R2_hi,Pearson_median,Pearson_lo,Pearson_hi,Spearman_median,Spearman_lo,Spearman_hi
KenyonCells,XGBoost,2.785801454079072,2.7553714930785516,2.814652151242269,5.088050846634969,5.017033293243048,5.1699370696396905,1.4963182210922241,1.471792459487915,1.5160225629806519,0.7318451476482841,0.7222640155977279,0.7407835643682232,0.8598101906908268,0.8527937140238148,0.8673641317265386,0.8474820551125755,0.8428483732323516,0.8557861154132547
OpticLobe,XGBoost,2.5097302764438156,2.4699529239522793,2.564266595241957,4.613135987192778,4.569018447400055,4.634766034055819,1.2122938632965088,1.1882672309875488,1.2359189987182617,0.8120479440657133,0.8090886175088958,0.8154581455489189,0.9039374989352484,0.9018223033577628,0.9054783589312336,0.8889124517062895,0.8843351035503126,0.8942665102253052
Monoaminergic,XGBoost,4.329922704128236,4.259224566937293,4.4533354356388255,7.026571841194867,6.863839994402729,7.193181692138423,2.359153389930725,2.306585267186165,2.4431164264678955,0.6915434886369691,0.6821682901414834,0.7098456178215928,0.8434775637484767,0.8349594079713186,0.8517430544156475,0.8064986099243372,0.7903629540657141,0.8209099609862931
Glia,XGBoost,5.566586814193136,5.537475864683281,5.644823678895887,7.999130940010026,7.929925444783206,8.113033860575733,3.5660877227783203,3.4883803725242615,3.6464368104934692,0.8276936531793755,0.8226231253604406,0.8305431150100404,0.9104835091197251,0.9079019163885785,0.9126413542159335,0.9087028146665339,0.9054098798608275,0.911363061093206
Peptidergic,XGBoost,4.384529541226407,4.3301841457794,4.467989463145582,7.026912808957209,6.886938080265889,7.19815811520407,2.654179096221924,2.4998323917388916,2.712705612182617,0.6852782794759749,0.6701665870075789,0.6971752908309621,0.8343139836573974,0.823708544136472,0.8409528100913864,0.8090511255914674,0.8016563325853081,0.8186885722765145
Clock,XGBoost,5.37688183928959,5.166468288227007,5.626882901392787,8.67230286054462,8.349230387769463,8.844448707953287,2.9840368032455444,2.7199037075042725,3.3035824298858643,0.5627685706852221,0.5460741740351789,0.5892694091529245,0.7704335111061007,0.7569944486418609,0.7850909563423218,0.7862963192892667,0.763511185104279,0.8025233673145984
