model,MAE_median,MAE_lo,MAE_hi,RMSE_median,RMSE_lo,RMSE_hi,MedAE_median,MedAE_lo,MedAE_hi,R2_median,R2_lo,R2_hi,Pearson_median,Pearson_lo,Pearson_hi,Spearman_median,Spearman_lo,Spearman_hi
Dummy,17.331625686401388,17.296325816159598,17.356178905307704,19.270438757169792,19.224360619972796,19.28052602051769,17.243209360635188,17.22816548265775,17.251672240802677,-7.498989369025821e-06,-1.0063774041890738e-05,-5.357503034542077e-07,,,,,,
LinearRegression,20.62228162094779,19.022995026682818,28.563514987204485,38.8920293014693,28.603085763590908,97.0899361152306,14.11263551683623,13.544018890409886,15.013962711902185,-3.085685934316434,-24.506352209581628,-1.203164582134208,0.4009455685761793,0.1676461865470476,0.46554348524320266,0.561083807289339,0.5197489886626495,0.6259039147838714
ElasticNet,7.845409633001144,7.5273745874682385,8.111217963815488,10.025073574145937,9.75439514602043,10.297527253880196,6.072954870908217,6.008088833591651,7.014411573178595,0.7296430034392638,0.7144467780179085,0.7437866617985465,0.8654503704812536,0.8579379288046929,0.8767770819648038,0.877112164511137,0.8634896518924007,0.8962308198059525
SVR,12.383474489124872,12.08802516965326,12.58317164794288,17.133594014492157,17.00594399048254,17.30200313446347,8.401630815471876,7.101923210138016,8.930359429629576,0.20846734100746156,0.19139477440374486,0.22124197627964493,0.6742708147156804,0.6337610534285243,0.6897954438310293,0.7444947915696022,0.6886103769358666,0.7707978545156414
RandomForest,5.798428093645485,5.548862876254181,6.111856187290971,8.616458564513609,7.91324579613829,9.027948234848473,3.8450000000000015,3.6550000000000007,4.21,0.8000696287320379,0.779848377080138,0.8315497005386137,0.8983207473860997,0.8868197860597827,0.9161167825821009,0.9130870959654942,0.900514713189883,0.9166112971290672
RandomForest_authors,8.658983910928,8.435851624923417,9.155418762618721,11.54409562109129,11.197952365537926,12.152626931204047,6.196822955071017,5.9226454904612815,7.1174328696249685,0.641143450976476,0.6010815686189448,0.6626818518399523,0.8030773570719991,0.7803210805227668,0.8264183841913444,0.7864944708500318,0.7774869916996249,0.8164567726711239
XGBoost,5.8302310948169795,5.623376570838226,6.055801598604357,8.644546811755209,8.203404736562359,9.09405549035355,3.369504451751709,3.0554120540618896,3.7237534523010254,0.7989764506427144,0.7772917196915823,0.8187870110051663,0.8944872600342835,0.8827592422066262,0.9049007983210813,0.8991459497984495,0.8948341257855326,0.9032057111252003
