model,MAE_median,MAE_lo,MAE_hi,RMSE_median,RMSE_lo,RMSE_hi,MedAE_median,MedAE_lo,MedAE_hi,R2_median,R2_lo,R2_hi,Pearson_median,Pearson_lo,Pearson_hi,Spearman_median,Spearman_lo,Spearman_hi
Dummy,9.402762994252164,9.190256410256412,9.471839464882946,12.863129909920897,12.411726179124406,12.93980983537071,8.181969949916528,8.132107023411372,8.279264214046822,-0.0006482003311145679,-0.0008684677198580459,-8.710069424799904e-05,,,,,,
LinearRegression,6.578927072145703,6.414958842130645,6.742697141304181,8.766333371637922,8.021376341373466,8.988758297823832,4.858320906360065,4.715186116916939,6.124940659206185,0.5355056040531436,0.4759714312756591,0.6114274327403981,0.7454685813580391,0.7209862266881562,0.7922903120059905,0.6678920509869442,0.6391008868945804,0.7190601821022743
ElasticNet,5.604079396543488,5.285767118315651,5.659996211648591,8.10928584332429,8.051996766014623,8.437432495145737,3.871872935519521,3.1856844487894285,3.990704719851046,0.578862193752658,0.5697061523328655,0.6118973167840309,0.784895867363904,0.770457362070148,0.8281185748931718,0.7787451316540828,0.7160306567573652,0.7991756902580485
SVR,7.2253577472489,6.99150564659497,7.602313340584123,12.959733144789405,12.39768287383726,13.202354687875745,2.849897558677873,2.4822122208797914,3.074682699180455,-0.015164990871748163,-0.04183321295336606,0.0016148947659448964,0.4392477581641573,0.41871416876915263,0.47264758871487766,0.5707788314334837,0.5079336054794651,0.6144379910352769
RandomForest,4.833422818791947,4.646845637583892,4.999533333333332,7.789258544089204,7.453565607711276,8.374025475639938,2.7249999999999996,2.27,3.21,0.6373500308820306,0.5445029144886069,0.6644922872363577,0.8102392548252367,0.7581572298683346,0.8391569600451312,0.8187248558796697,0.7927861645753789,0.8591074685719712
RandomForest_authors,5.66107562777398,5.329456404717795,5.8123619132178375,8.742610039635501,7.739268656921021,9.01885950714927,3.266214875523452,3.149908806596423,3.57141679126604,0.5294603369473727,0.4934223457117659,0.6379701671859033,0.741045517871583,0.7195790688871356,0.8401253559871017,0.7133790565449929,0.6501469462108108,0.7473866325689926
XGBoost,4.684792675077915,4.564930193976268,5.156423621475697,7.810187640533076,7.583270583573699,8.7113249361999,2.393278479576111,2.20298433303833,2.5199389457702637,0.6353985914984621,0.5078199730018962,0.6524177266631215,0.7980913664396361,0.7161508476208984,0.8235025579563752,0.7930819952966929,0.760815589632139,0.8192151920020656
