model,MAE_median,MAE_lo,MAE_hi,RMSE_median,RMSE_lo,RMSE_hi,MedAE_median,MedAE_lo,MedAE_hi,R2_median,R2_lo,R2_hi,Pearson_median,Pearson_lo,Pearson_hi,Spearman_median,Spearman_lo,Spearman_hi
Dummy,9.315320457208953,9.289086775293672,9.364328873871818,12.532100341015482,12.501299417166145,12.550057928324705,7.095172413793103,7.089531680440771,7.1005509641873275,-2.1286880902415817e-07,-5.239795475509013e-06,-1.9951830410036564e-08,,,,,,
LinearRegression,7.981720262843021,7.4171708998671235,8.787903965210608,10.3341067654785,9.72829317797703,11.790196525334625,6.381078230348786,5.759581324023003,6.720656048817787,0.32195783342135464,0.11489192700332407,0.3944318919517117,0.654990887029751,0.5817683479174385,0.6719053098331587,0.5992845136386463,0.5567534866266962,0.6559800664511704
ElasticNet,5.696207284082226,5.4969076915782455,6.467800940209466,8.204322030632744,8.134976103669224,9.758377120554421,4.169362008380375,3.677023423828854,4.4755638500589585,0.5726376959664465,0.3936695082011774,0.5788587322580341,0.7855333137917331,0.6307991537047553,0.7991831126965395,0.7356795871408596,0.693037368878321,0.815557016142754
SVR,7.634964890267165,7.356436171035745,7.769403450041035,12.538728574681192,12.486534777271913,12.616915660640363,4.041027413819558,3.4063455165247865,4.088334776833404,0.00032743471603235985,-0.013586023726588792,0.007800282063684438,0.3897843703985676,0.33443525056926793,0.5045187621216187,0.5048960948952691,0.42635251949390657,0.6671927914702752
RandomForest,4.335934065934066,4.0078571428571435,4.791270718232044,7.199889079869977,6.296552999088443,7.787818225098884,2.4800000000000004,2.33,2.7199999999999998,0.6699301732991163,0.6140359549653849,0.7463146306885409,0.8241943046961194,0.7872772285217249,0.8876889415314404,0.7835975459621123,0.7530935092245381,0.8265795648302738
RandomForest_authors,5.657830597395913,4.965712975506595,6.039522441076184,7.954410866607821,7.436801475670961,9.188122865375583,3.6832342433742626,3.4256887115896077,3.9995159994484037,0.5951391952856077,0.46275940042866537,0.6461150682202318,0.776875968005973,0.6820563060553444,0.826566262966745,0.6425528802522879,0.48292207590553665,0.7165955495387288
XGBoost,4.473990037273204,4.156015719952328,5.255217657563436,7.532688137250964,6.728447573660109,8.456536112720453,2.2747303247451782,2.114854723215103,2.6727097034454346,0.6387114580081661,0.5449068981347391,0.7103193806950718,0.799779093817458,0.739861829870576,0.8442884204768373,0.8012936836864669,0.7788608893824618,0.8361222421868698
