family,model,round,fold,MAE,RMSE,MedAE,R2,Pearson,Spearman
KenyonCells,Dummy,0,0,6.316858281818706,9.911155114161488,5.192096597145993,-2.038258180792063e-05,,
KenyonCells,Dummy,0,1,6.311889768328615,9.91129687133197,5.190998902305159,-2.5683969867351664e-05,,
KenyonCells,Dummy,0,2,6.304436998093478,9.908192155329559,5.189352360043908,-3.480683348122682e-05,,
KenyonCells,Dummy,0,3,6.251067856992157,9.712940513749096,5.208447613823368,-1.4526306765461072e-05,,
KenyonCells,Dummy,0,4,6.218721706159995,9.65195598911194,5.224355458036204,-0.00014611681157172818,,
KenyonCells,Dummy,1,0,6.316858281818707,9.911155114161488,5.192096597145993,-2.0382581808142675e-05,,
KenyonCells,Dummy,1,1,6.311889768328615,9.91129687133197,5.190998902305159,-2.5683969867351664e-05,,
KenyonCells,Dummy,1,2,6.304436998093477,9.908192155329559,5.189352360043908,-3.480683348122682e-05,,
KenyonCells,Dummy,1,3,6.251067856992157,9.712940513749096,5.208447613823368,-1.4526306765461072e-05,,
KenyonCells,Dummy,1,4,6.218721706159994,9.651955989111938,5.224355458036204,-0.00014611681157150613,,
KenyonCells,Dummy,2,0,6.316858281818706,9.911155114161488,5.192096597145993,-2.038258180792063e-05,,
KenyonCells,Dummy,2,1,6.311889768328616,9.91129687133197,5.190998902305159,-2.568396986712962e-05,,
KenyonCells,Dummy,2,2,6.304436998093478,9.908192155329559,5.189352360043908,-3.480683348100477e-05,,
KenyonCells,Dummy,2,3,6.251067856992157,9.712940513749096,5.208447613823368,-1.4526306765461072e-05,,
KenyonCells,Dummy,2,4,6.218721706159994,9.651955989111938,5.224355458036204,-0.00014611681157150613,,
KenyonCells,Dummy,3,0,6.316858281818707,9.911155114161488,5.192096597145993,-2.0382581807698585e-05,,
KenyonCells,Dummy,3,1,6.311889768328615,9.91129687133197,5.190998902305159,-2.568396986712962e-05,,
KenyonCells,Dummy,3,2,6.304436998093477,9.908192155329559,5.189352360043908,-3.480683348122682e-05,,
KenyonCells,Dummy,3,3,6.251067856992157,9.712940513749096,5.208447613823368,-1.4526306765461072e-05,,
KenyonCells,Dummy,3,4,6.218721706159994,9.651955989111938,5.224355458036204,-0.00014611681157150613,,
KenyonCells,Dummy,4,0,6.316858281818707,9.911155114161488,5.192096597145993,-2.038258180792063e-05,,
KenyonCells,Dummy,4,1,6.311889768328615,9.91129687133197,5.190998902305159,-2.568396986712962e-05,,
KenyonCells,Dummy,4,2,6.304436998093477,9.908192155329559,5.189352360043908,-3.480683348100477e-05,,
KenyonCells,Dummy,4,3,6.251067856992157,9.712940513749096,5.208447613823368,-1.4526306765461072e-05,,
KenyonCells,Dummy,4,4,6.218721706159994,9.651955989111938,5.224355458036204,-0.00014611681157150613,,
KenyonCells,LinearRegression,0,0,4.317962862919743,6.174374266262853,3.1464998612160944,0.6118977075161238,0.7822681946799308,0.7164681659457902
KenyonCells,LinearRegression,0,1,4.1431411747480675,6.386717239053843,2.8729628786838113,0.5847538994760226,0.7680874124618264,0.6866068944873261
KenyonCells,LinearRegression,0,2,4.231520136955274,6.022931678956676,3.248715899976922,0.6304764268818064,0.7954749596140136,0.7428313644504193
KenyonCells,LinearRegression,0,3,4.473058362811193,6.733630254252108,3.342089093921622,0.519378292857783,0.7236443797956451,0.7182446729760277
KenyonCells,LinearRegression,0,4,4.15342943567055,6.092067273413696,3.064382537186553,0.6015607002013816,0.7767650325492875,0.6601490701404789
KenyonCells,LinearRegression,1,0,4.216648309552292,6.187004080883602,3.101138426680887,0.6103083405546935,0.781365089061322,0.7462545018383052
KenyonCells,LinearRegression,1,1,4.28165051154939,6.606641340431957,3.069533918154187,0.5556638516738872,0.748187067335091,0.7127371263926211
