family,model,MAE_median,MAE_lo,MAE_hi,RMSE_median,RMSE_lo,RMSE_hi,MedAE_median,MedAE_lo,MedAE_hi,R2_median,R2_lo,R2_hi,Pearson_median,Pearson_lo,Pearson_hi,Spearman_median,Spearman_lo,Spearman_hi
KenyonCells,Dummy,6.304436998093477,6.251067856992157,6.311889768328615,9.908192155329559,9.712940513749096,9.911155114161488,5.192096597145993,5.190998902305159,5.208447613823368,-2.568396986712962e-05,-3.480683348122682e-05,-2.038258180792063e-05,,,,,,
KenyonCells,LinearRegression,4.231520136955274,4.16556752227903,4.338170005118725,6.320143609737031,6.174374266262853,6.482002219806583,3.064382537186553,2.9086841742661846,3.1369834941517496,0.5880079979119284,0.5719991554747309,0.6054326810891446,0.7680874124618264,0.756659421012149,0.7796823976674431,0.7069670341261376,0.6887558607678578,0.7199300537257979
KenyonCells,ElasticNet,4.128525953872849,4.059334754341019,4.232505624066352,6.228581364506806,6.101191957370658,6.390511280441706,2.9060472722692534,2.807828895848863,3.017928245328113,0.5977473449335984,0.5796770947935095,0.6150415195662475,0.7737144918102696,0.7651676657746634,0.78567983032047,0.718311261951702,0.7054311350403918,0.7336677209997474
KenyonCells,SVR,3.4401060797592438,3.3905262361979136,3.5420197863866774,5.72552300961766,5.660840390534639,5.800206698684992,2.0723200994069906,2.030048531821298,2.117002135260362,0.6575105115479096,0.6414294111972085,0.6710526622444054,0.8161060127060077,0.8053810027159907,0.8244620283422752,0.7730558562196881,0.7625590253111141,0.7857721995543115
KenyonCells,RandomForest,2.9798371065070497,2.949045841180894,3.0071687297927023,5.552009060940044,5.3207496226035795,5.768598083031683,1.584607910184503,1.5272268683755705,1.6198086194048038,0.6846918063709596,0.6538718925260945,0.7043897420763477,0.8299584346179167,0.8094287980214201,0.8428521036048093,0.8355389773035025,0.8261663225612951,0.8454795962182673
KenyonCells,RandomForest_authors,4.165637617788367,4.077662168720597,4.2391963108018,6.6603585318097265,6.483921476870939,6.996683561007948,2.725543169271328,2.499255425829868,2.924202481378825,0.535448014595183,0.4826096028222775,0.5717456642764143,0.7335498034048489,0.6958160130464283,0.7621647176187353,0.6217341233662347,0.583620487433084,0.6497144178865234
KenyonCells,XGBoost,2.920421885258085,2.8695673549265943,2.969158884150123,5.1828117282809005,5.102315518215901,5.337420543146774,1.5976805686950684,1.554491400718689,1.6354084014892578,0.720509269099798,0.6975301309254818,0.7342048685824409,0.8521261585400208,0.835644057544841,0.8636915441489343,0.8334049582838742,0.811663223974889,0.8443883890951801
OpticLobe,Dummy,6.923929624215302,6.9128266140254215,6.936122556276375,10.621090852623741,10.602283617553995,10.670015744971348,5.658876669285153,5.653770620581304,5.6635899450117835,-5.8135070777343145e-06,-5.8135070777343145e-06,-4.858703614996074e-06,,,,,,
OpticLobe,LinearRegression,4.176730092745656,4.113382456885048,4.21444908898196,6.187534910979604,6.031846380714988,6.235605432691006,2.9555100111100785,2.8804018513117846,3.000821108664155,0.6637148197566849,0.6540920621777953,0.679212413182728,0.8155451549687907,0.80949936787494,0.8242777916611022,0.7312413469552889,0.7235978453619512,0.737608727762155
OpticLobe,ElasticNet,4.102012228954072,4.0551963822218475,4.1421725628087085,6.166726794134481,6.030108521460826,6.228621487914117,2.8439260356412257,2.7947454974386514,2.9224692757447555,0.6659728095737785,0.6552075441349869,0.6776616276458891,0.8162985546169894,0.8097139956888798,0.8237264729300646,0.7450716551319966,0.7322794533853517,0.7489853552972207
OpticLobe,SVR,3.383154057613455,3.3645485093704326,3.4414341782351423,5.691966541249718,5.637644108245526,5.794112579223018,1.9098734486659055,1.8874925423414162,1.9595388090991221,0.7134792611679923,0.7051193584569124,0.7197327033454561,0.8471178604688631,0.8413607147325965,0.8513459732439024,0.8117113596595937,0.8067162673157188,0.8158318226479319
OpticLobe,RandomForest,2.6432196966677894,2.613343344964139,2.6890117713071158,4.996618775202578,4.922562280840534,5.152594350423284,1.2531715945857353,1.2218535952155682,1.2749149489215705,0.7795973687055167,0.7647522754800153,0.7844243381738806,0.8852473710567413,0.8766482159314248,0.887078392059157,0.8709805127439298,0.869572228112259,0.8780321061032136
OpticLobe,RandomForest_authors,3.8235891516690024,3.7845104332941357,3.864031689916685,6.586371701294372,6.488968797522837,6.726985606470246,2.1583391392851126,1.989413620309303,2.2770050101313526,0.6158221880219303,0.5974143544588781,0.6301515730533319,0.7884918470184294,0.775323250001694,0.7984192430387635,0.7183956978925783,0.7113419270929365,0.7328304129641687
OpticLobe,XGBoost,2.64784435734324,2.5931635737197456,2.675234895014809,4.693270646743348,4.639572958732524,4.8242363540917035,1.3027018308639526,1.2798500061035156,1.3249049186706543,0.8049238397426305,0.7930083430975758,0.8093310867078539,0.8981165903488157,0.8924068246587853,0.9014883794628504,0.8778991261158363,0.8707358570183074,0.8852030509725352
Monoaminergic,Dummy,9.402762994252164,9.235607580824974,9.41289173230552,12.863129909920895,12.422549159962378,12.86953706860493,8.181969949916528,8.1669449081803,8.26923076923077,-0.0006482003311143458,-0.0008089811453642071,-0.0002307490415951463,,,,,,
Monoaminergic,LinearRegression,5.9869363040487125,5.834799870406552,6.318072661064429,8.445516776952939,8.070296977987054,8.917265042242903,4.193354010760757,4.094462250890675,4.444859634297025,0.5688811897069346,0.5149105234959753,0.6066733399017659,0.7560272585265981,0.7181638475197717,0.7819374035901921,0.7044168758869879,0.6877522428246569,0.7162746117121567
Monoaminergic,ElasticNet,5.7344387817224165,5.518651905442254,5.893364927735927,8.095780164744104,7.879194171871554,8.456524709422,3.9792956682951077,3.784610468549129,4.26169528463736,0.581116330012256,0.5438473416689107,0.6170764414959865,0.7682424155256116,0.7457311027735968,0.8004792855062335,0.7382027477180263,0.723183002265471,0.7472760119646483
Monoaminergic,SVR,6.126274164426151,5.9598023932135655,6.314460469300974,8.90528018651621,8.71097751076714,9.172379517964318,3.8121559851854787,3.5562855104580215,4.123369763097511,0.49924231210024195,0.47870986306048957,0.5371205728277496,0.7074523687495841,0.692993248461978,0.7387525890950337,0.7199017927899396,0.6766756455883605,0.7398168385179867
Monoaminergic,RandomForest,4.629290927736023,4.502157632798253,4.9188467882655225,7.4475946581230765,7.28131175404734,8.027557087737888,2.459832084722441,2.3127812546930215,2.530454258463079,0.6607080342845529,0.5972529569036706,0.6731911764969167,0.824973842331489,0.776509730541127,0.8307001988142262,0.8003972039964949,0.7856156236126883,0.808884793133087
Monoaminergic,RandomForest_authors,5.5196675628028355,5.4327935147556,5.6568219433563,8.541966078109455,8.27128167678394,8.882568570362691,3.278597554929698,3.1363050915451236,3.3490708937059726,0.5437990471345453,0.5231296422419877,0.5621178356048504,0.7487890654394227,0.7276939966453867,0.765251380986098,0.6901867728204137,0.6710609169531992,0.7222280843883143
Monoaminergic,XGBoost,4.661847202669854,4.47873239249191,4.798065165281296,7.368946908667533,7.104373079927656,7.648667044403744,2.5806392431259155,2.3885672092437744,2.8080302476882935,0.651743659374154,0.642560549221626,0.690223102997541,0.8249627836033779,0.8067623456834716,0.8451040665623233,0.7811935767339112,0.7701568554136469,0.793074530534205
Glia,Dummy,17.331625686401388,17.314148568777107,17.338722751838905,19.270438757169792,19.241069930401164,19.27086041117808,17.243209360635188,17.229837024655243,17.24905975762641,-7.498989369025821e-06,-8.590864457813652e-06,-5.081658811523226e-06,,,,,,
Glia,LinearRegression,7.791619707485428,7.721988640414024,7.8837724850313995,9.963623779541066,9.852118415582035,10.092920609098208,6.339722565842957,6.189295799606834,6.5296288712780095,0.7329472116343287,0.7258459142529138,0.7378179124192839,0.8565464101613596,0.852571919777412,0.8589665641622857,0.850523351393657,0.84096616319189,0.8557910510650452
Glia,ElasticNet,7.772049021931408,7.674507307303104,7.85707425948607,9.92216976345002,9.840458412208825,10.096338779821377,6.142867154002471,6.080857965579058,6.435420482258834,0.7336128763961379,0.7254957996410161,0.738837969179027,0.8567135614005427,0.8537203220781509,0.8600554098652284,0.8536974704777964,0.8465672243956475,0.8607221650368418
Glia,SVR,6.500105514491724,6.336144843787645,6.549927927478476,8.925661242721572,8.764075108990905,8.992972135808117,4.421378911705435,4.291605462469985,4.4737532590934554,0.7848087685618936,0.781626846834638,0.7931605632798355,0.8872397938576594,0.8841789217182032,0.8910909288137328,0.8881127011608171,0.8788122932107032,0.8941674085328994
Glia,RandomForest,5.877548794062795,5.7709687296697565,6.008763806446937,8.493010934818935,8.400222308627589,8.58162002714532,3.931041391305439,3.8220103379328108,4.017937886056103,0.8051649275301875,0.80073157689221,0.8093989318226743,0.9012215536553814,0.896657768425631,0.9028328106961416,0.9031023416325497,0.8981532493725313,0.9059426916514984
Glia,RandomForest_authors,8.71911720720909,8.617023716908134,8.87041544402525,11.508535968493872,11.377966386224555,11.711646077237967,6.6567203179311,6.2586217935788575,6.9807373198251765,0.642907743897331,0.6295073043253958,0.6513976275941709,0.8076666008321582,0.7990005064740618,0.8147285660772174,0.7902396711260238,0.780247536925116,0.8109917297715932
Glia,XGBoost,5.8412017366096665,5.76181942281659,5.884288332113579,8.251752962155448,8.182384254378404,8.301151273332433,3.8511219024658203,3.7612627744674683,3.889150023460388,0.8165630949542952,0.8143056316295477,0.8198964732371982,0.9050578235927484,0.9035182167271061,0.908168734369472,0.9021980493687043,0.899979254030864,0.9077966314642124
Peptidergic,Dummy,9.315320457208957,9.289086775293672,9.333698613457528,12.532100341015482,12.501299417166146,12.535522123659888,7.095172413793103,7.093663911845731,7.095172413793103,-2.1286880902415817e-07,-4.468192434936569e-06,-1.995183063208117e-08,,,,,,
Peptidergic,LinearRegression,6.481225765295574,6.289107276715414,6.866425196676991,9.8198336038234,9.226335820078042,10.623741764925365,4.308974599287776,4.130232509286998,4.436280071444534,0.38776370482056166,0.2813635774479759,0.4579832228797516,0.6522491682801008,0.599460686453672,0.6931022540551817,0.6921053689778985,0.6841509895503005,0.7178767142507142
Peptidergic,ElasticNet,6.3061506097971325,6.032728332360348,6.408316302622814,9.118716970982202,8.851925607742093,9.624421852473901,4.12903529380476,3.874795795872579,4.220962832725821,0.47055398252336,0.41052615786361624,0.5013558275459452,0.6909200853967178,0.6524829389892403,0.7088660610083348,0.7126613137507327,0.7009645838653558,0.7426804277179939
Peptidergic,SVR,6.284342433329942,6.1883893198575715,6.456363152277116,9.246040037697208,9.088577324130569,9.426257967676841,3.9796275499177156,3.7320147072502614,4.0557814844349345,0.45566563524300996,0.4315350462269485,0.47555176555584133,0.6822914749250597,0.6589492108975367,0.696081202720304,0.6955911878554046,0.68023487917603,0.7137012052889083
Peptidergic,RandomForest,4.42793338228876,4.244900217304521,4.5345167619562226,7.205665352595856,6.883113474424987,7.412850976732666,2.50219696969697,2.4274460955710984,2.563142229708121,0.6695822159151209,0.648564253517206,0.6968486173923544,0.820493092640184,0.8112087847211364,0.8393715126053608,0.790881147927719,0.7762055307100176,0.7992881148500638
Peptidergic,RandomForest_authors,5.525401469202488,5.43835779067305,5.898171066706519,8.400722449597863,8.065566117498317,8.663735144282287,3.640067794407967,3.3479171877365914,3.6908186311399764,0.5519318362203407,0.519713887766821,0.5857868093991271,0.7603682199460392,0.7262859057593569,0.7756845157746606,0.622244470672329,0.5724498456470101,0.6471994615951034
Peptidergic,XGBoost,4.492175378028181,4.406371586311322,4.574798924076623,7.128842392174241,6.970196774358256,7.389778184973517,2.7034623622894287,2.553006410598755,2.784111976623535,0.6748170840910257,0.6532842104987785,0.6906541522279492,0.8279334632051796,0.8165781815392614,0.8364656039294351,0.804324821443197,0.7909843322343366,0.8233576537749474
Clock,Dummy,9.72772549163218,9.691544292672209,9.75868440502587,12.990610601305788,12.981978893067081,13.054430514646203,8.753799392097264,8.742424242424242,8.790273556231003,-0.00010794625006549374,-0.0003575527823136415,-6.351438390650443e-05,,,,,,
Clock,LinearRegression,7.424692354734445,7.183382753769639,7.893197460175173,11.468839105931638,10.6402801523711,12.246578266487672,4.844310256231145,4.60075868417411,5.368297971941097,0.22051569735408627,0.11005490108725302,0.3634926248764061,0.5914503850007278,0.5320125834875842,0.6328006011231555,0.6731391355059698,0.6434344049257062,0.7080509594481793
Clock,ElasticNet,7.266105376157343,6.806248553399594,7.487565385934933,10.659566248587414,10.056337891623954,11.307629475419565,4.685007750264665,4.167595691333064,5.1153016973416445,0.33274977411351936,0.22842822895198445,0.4015306285274336,0.6002134543029606,0.5623906266499834,0.6413135493609111,0.6965310477975354,0.6721642638637496,0.7313993276112293
Clock,SVR,7.20940376657955,6.742077234799104,7.566761500145881,10.4657613666133,9.891701644858056,10.968383654813216,4.00625047673593,3.695252185001646,4.432675751259929,0.401990904840956,0.2954959921394871,0.423794849566413,0.6341529056895807,0.5727943136028453,0.6536935030042075,0.6536312048884035,0.6270924972462322,0.7144359040378044
Clock,RandomForest,5.499584171758274,5.076943426657873,5.75132696685268,8.796668236915137,8.10333341252161,9.2683085333466,2.9440095965072444,2.7299326137481574,3.177690193389216,0.5474403626801987,0.49656904612840835,0.6033979035250734,0.7632417463883088,0.7212126099641549,0.8045164169971936,0.7853242079578079,0.7689875789257108,0.8113560697518057
