model,MAE_median,MAE_lo,MAE_hi,RMSE_median,RMSE_lo,RMSE_hi,MedAE_median,MedAE_lo,MedAE_hi,R2_median,R2_lo,R2_hi,Pearson_median,Pearson_lo,Pearson_hi,Spearman_median,Spearman_lo,Spearman_hi
Dummy,9.315320457208957,9.289086775293672,9.333698613457528,12.532100341015482,12.501299417166146,12.535522123659888,7.095172413793103,7.093663911845731,7.095172413793103,-2.1286880902415817e-07,-4.468192434936569e-06,-1.995183063208117e-08,,,,,,
LinearRegression,6.481225765295574,6.289107276715414,6.866425196676991,9.8198336038234,9.226335820078042,10.623741764925365,4.308974599287776,4.130232509286998,4.436280071444534,0.38776370482056166,0.2813635774479759,0.4579832228797516,0.6522491682801008,0.599460686453672,0.6931022540551817,0.6921053689778985,0.6841509895503005,0.7178767142507142
ElasticNet,6.3061506097971325,6.032728332360348,6.408316302622814,9.118716970982202,8.851925607742093,9.624421852473901,4.12903529380476,3.874795795872579,4.220962832725821,0.47055398252336,0.41052615786361624,0.5013558275459452,0.6909200853967178,0.6524829389892403,0.7088660610083348,0.7126613137507327,0.7009645838653558,0.7426804277179939
SVR,6.284342433329942,6.1883893198575715,6.456363152277116,9.246040037697208,9.088577324130569,9.426257967676841,3.9796275499177156,3.7320147072502614,4.0557814844349345,0.45566563524300996,0.4315350462269485,0.47555176555584133,0.6822914749250597,0.6589492108975367,0.696081202720304,0.6955911878554046,0.68023487917603,0.7137012052889083
RandomForest,4.42793338228876,4.244900217304521,4.5345167619562226,7.205665352595856,6.883113474424987,7.412850976732666,2.50219696969697,2.4274460955710984,2.563142229708121,0.6695822159151209,0.648564253517206,0.6968486173923544,0.820493092640184,0.8112087847211364,0.8393715126053608,0.790881147927719,0.7762055307100176,0.7992881148500638
RandomForest_authors,5.525401469202488,5.43835779067305,5.898171066706519,8.400722449597863,8.065566117498317,8.663735144282287,3.640067794407967,3.3479171877365914,3.6908186311399764,0.5519318362203407,0.519713887766821,0.5857868093991271,0.7603682199460392,0.7262859057593569,0.7756845157746606,0.622244470672329,0.5724498456470101,0.6471994615951034
XGBoost,4.492175378028181,4.406371586311322,4.574798924076623,7.128842392174241,6.970196774358256,7.389778184973517,2.7034623622894287,2.553006410598755,2.784111976623535,0.6748170840910257,0.6532842104987785,0.6906541522279492,0.8279334632051796,0.8165781815392614,0.8364656039294351,0.804324821443197,0.7909843322343366,0.8233576537749474
