model,MAE_median,MAE_lo,MAE_hi,RMSE_median,RMSE_lo,RMSE_hi,MedAE_median,MedAE_lo,MedAE_hi,R2_median,R2_lo,R2_hi,Pearson_median,Pearson_lo,Pearson_hi,Spearman_median,Spearman_lo,Spearman_hi
Dummy,6.923929624215302,6.9128266140254215,6.936122556276375,10.621090852623741,10.602283617553995,10.670015744971348,5.658876669285153,5.653770620581304,5.6635899450117835,-5.8135070777343145e-06,-5.8135070777343145e-06,-4.858703614996074e-06,,,,,,
LinearRegression,4.176730092745656,4.113382456885048,4.21444908898196,6.187534910979604,6.031846380714988,6.235605432691006,2.9555100111100785,2.8804018513117846,3.000821108664155,0.6637148197566849,0.6540920621777953,0.679212413182728,0.8155451549687907,0.80949936787494,0.8242777916611022,0.7312413469552889,0.7235978453619512,0.737608727762155
ElasticNet,4.102012228954072,4.0551963822218475,4.1421725628087085,6.166726794134481,6.030108521460826,6.228621487914117,2.8439260356412257,2.7947454974386514,2.9224692757447555,0.6659728095737785,0.6552075441349869,0.6776616276458891,0.8162985546169894,0.8097139956888798,0.8237264729300646,0.7450716551319966,0.7322794533853517,0.7489853552972207
SVR,3.383154057613455,3.3645485093704326,3.4414341782351423,5.691966541249718,5.637644108245526,5.794112579223018,1.9098734486659055,1.8874925423414162,1.9595388090991221,0.7134792611679923,0.7051193584569124,0.7197327033454561,0.8471178604688631,0.8413607147325965,0.8513459732439024,0.8117113596595937,0.8067162673157188,0.8158318226479319
RandomForest,2.6432196966677894,2.613343344964139,2.6890117713071158,4.996618775202578,4.922562280840534,5.152594350423284,1.2531715945857353,1.2218535952155682,1.2749149489215705,0.7795973687055167,0.7647522754800153,0.7844243381738806,0.8852473710567413,0.8766482159314248,0.887078392059157,0.8709805127439298,0.869572228112259,0.8780321061032136
RandomForest_authors,3.8235891516690024,3.7845104332941357,3.864031689916685,6.586371701294372,6.488968797522837,6.726985606470246,2.1583391392851126,1.989413620309303,2.2770050101313526,0.6158221880219303,0.5974143544588781,0.6301515730533319,0.7884918470184294,0.775323250001694,0.7984192430387635,0.7183956978925783,0.7113419270929365,0.7328304129641687
XGBoost,2.64784435734324,2.5931635737197456,2.675234895014809,4.693270646743348,4.639572958732524,4.8242363540917035,1.3027018308639526,1.2798500061035156,1.3249049186706543,0.8049238397426305,0.7930083430975758,0.8093310867078539,0.8981165903488157,0.8924068246587853,0.9014883794628504,0.8778991261158363,0.8707358570183074,0.8852030509725352
