model,MAE_median,MAE_lo,MAE_hi,RMSE_median,RMSE_lo,RMSE_hi,MedAE_median,MedAE_lo,MedAE_hi,R2_median,R2_lo,R2_hi,Pearson_median,Pearson_lo,Pearson_hi,Spearman_median,Spearman_lo,Spearman_hi
Dummy,6.304436998093478,6.218721706159995,6.316858281818706,9.908192155329559,9.65195598911194,9.91129687133197,5.192096597145993,5.189352360043908,5.224355458036204,-2.5683969867351664e-05,-0.00014611681157172818,-1.4526306765461072e-05,,,,,,
LinearRegression,14.026634489591197,12.991231237712691,14.215298887541582,18.093425943353292,16.80200399067993,19.284564853366103,11.252996092714227,10.194107185025224,11.696359207296446,-2.470135755033866,-2.7859946253607646,-1.8739046293244956,0.3880503866738233,0.36467574384613205,0.4541570433617166,0.3097233010142297,0.26386398342285616,0.3601669035394116
ElasticNet,3.9416793511389123,3.8745377382628208,4.00850824153496,6.307750253072318,6.219516670791784,6.336145268078091,2.615408078196286,2.3281622510076954,2.8307159988904553,0.5913039537534228,0.5708889153355226,0.6062019346264194,0.8037750500427785,0.7921501979026391,0.8174777232224311,0.7553887831853455,0.7267741020152824,0.7908046435787319
SVR,4.457225907312441,4.441377354240015,4.516437626272232,9.217967960286801,9.091725187837827,9.31573108773059,1.7746393082690175,1.6555816354424238,1.8207214319353904,0.12205928197222526,0.11258781604472534,0.1344410255634938,0.5435442101367541,0.5071526342512246,0.5447985700867775,0.8044987378311194,0.7409063970920506,0.8118130507487922
RandomForest,2.693179824561404,2.659054945054945,2.8340131578947365,5.147896798438021,4.930855642039965,5.419432202245623,1.57,1.3450000000000006,1.62,0.7302199389204448,0.7008191096593668,0.7389778494866438,0.863708298467797,0.8392601331224683,0.8672158828012448,0.8446987498760664,0.8305112630701517,0.8565569532948063
RandomForest_authors,4.101742508911102,3.9719206290372204,4.118016993465611,6.629651142275156,6.279630193852987,6.752786226648441,2.6501044768183633,2.123810259891797,3.0583097621800657,0.5525633682149824,0.5257029631663659,0.5985527902522161,0.7531405520249786,0.7273832236330053,0.7759295346241178,0.6242274181451706,0.553486644309164,0.7236903246350079
XGBoost,2.7941469232173084,2.490004395604493,3.1236386920916215,5.095238741920802,4.655359354816691,5.697768100326679,1.3695204257965088,1.3371529579162598,1.436148464679718,0.7212840239064143,0.6695012322095504,0.7793740433162805,0.8494525678095893,0.8195180034070096,0.8863410199733821,0.8407755511087459,0.829276885066247,0.8535717161283951
