model,MAE_median,MAE_lo,MAE_hi,RMSE_median,RMSE_lo,RMSE_hi,MedAE_median,MedAE_lo,MedAE_hi,R2_median,R2_lo,R2_hi,Pearson_median,Pearson_lo,Pearson_hi,Spearman_median,Spearman_lo,Spearman_hi
Dummy,9.72772549163218,9.691544292672209,9.75868440502587,12.990610601305788,12.981978893067081,13.054430514646203,8.753799392097264,8.742424242424242,8.790273556231003,-0.00010794625006549374,-0.0003575527823136415,-6.351438390650443e-05,,,,,,
LinearRegression,7.424692354734445,7.183382753769639,7.893197460175173,11.468839105931638,10.6402801523711,12.246578266487672,4.844310256231145,4.60075868417411,5.368297971941097,0.22051569735408627,0.11005490108725302,0.3634926248764061,0.5914503850007278,0.5320125834875842,0.6328006011231555,0.6731391355059698,0.6434344049257062,0.7080509594481793
ElasticNet,7.266105376157343,6.806248553399594,7.487565385934933,10.659566248587414,10.056337891623954,11.307629475419565,4.685007750264665,4.167595691333064,5.1153016973416445,0.33274977411351936,0.22842822895198445,0.4015306285274336,0.6002134543029606,0.5623906266499834,0.6413135493609111,0.6965310477975354,0.6721642638637496,0.7313993276112293
SVR,7.20940376657955,6.742077234799104,7.566761500145881,10.4657613666133,9.891701644858056,10.968383654813216,4.00625047673593,3.695252185001646,4.432675751259929,0.401990904840956,0.2954959921394871,0.423794849566413,0.6341529056895807,0.5727943136028453,0.6536935030042075,0.6536312048884035,0.6270924972462322,0.7144359040378044
RandomForest,5.499584171758274,5.076943426657873,5.75132696685268,8.796668236915137,8.10333341252161,9.2683085333466,2.9440095965072444,2.7299326137481574,3.177690193389216,0.5474403626801987,0.49656904612840835,0.6033979035250734,0.7632417463883088,0.7212126099641549,0.8045164169971936,0.7853242079578079,0.7689875789257108,0.8113560697518057
RandomForest_authors,6.547339300403258,6.293610780864701,6.7488954688413445,9.853119231574196,9.650523214003776,10.349336136223137,4.040188922673536,3.8737027870410303,4.221859768811417,0.4166229126687804,0.3901810441782295,0.47618698800060144,0.6774093410984621,0.6378531962427842,0.7362434183363988,0.6580809263906409,0.6167839931034781,0.6904694758832969
XGBoost,5.405836138056546,5.226565326586456,5.769824899463768,8.574658926913482,8.285657342427209,9.261369291963245,2.9773929119110107,2.7722102403640747,3.2561464309692383,0.5685159719127084,0.4949972931882728,0.5970496365650787,0.770020396107214,0.7267228180437173,0.7829024386559327,0.7700944609332958,0.7515559553093508,0.8002652665580624
