gene,frequency
beat-Ia,0.02
Snm1,0.02
CG1103,0.02
mamo,0.02
mei-41,0.02
mt:srRNA,0.02
Ms,0.02
Mlh1,0.02
mt:ND5,0.02
mtt,0.02
CG9992,0.02
CG9837,0.02
CG14752,0.02
SmydA-4,0.02
CG33639,0.02
CG10514,0.02
roX1,0.02
RhoGAP18B,0.02
RpS12,0.02
roq,0.02
rush,0.02
Rrp6,0.02
Shawl,0.02
Scp2,0.02
side,0.02
Bap170,0.02
CG6785,0.02
CG6891,0.02
ap,0.02
CG6959,0.02
ATPsynD,0.02
Atg13,0.02
28SrRNA-Psi:CR45859,0.0
5-HT2A,0.0
5-HT2B,0.0
ab,0.0
Ac13E,0.0
Ac76E,0.0
Ac78C,0.0
ACC,0.0
Achl,0.0
acj6,0.0
Actn,0.0
ADD1,0.0
Adh,0.0
AdoR,0.0
Ady43A,0.0
Ag5r,0.0
AGBE,0.0
AlaRS,0.0
Ald,0.0
Alg10,0.0
Alh,0.0
alphagamma-element:CR32865,0.0
alpha-Man-Ia,0.0
alpha-Man-IIa,0.0
Tsp5D,0.0
tsr,0.0
tst,0.0
Ttd14,0.0
ttk,0.0
tut,0.0
TwdlT,0.0
TwdlW,0.0
AstC-R1,0.0
AstC-R2,0.0
Asx,0.0
Atac3,0.0
Atg4b,0.0
ato,0.0
ATP8B,0.0
ATPsynepsilonL,0.0
arx,0.0
ash1,0.0
AsnS,0.0
Asph,0.0
AstA,0.0
AstA-R1,0.0
AstC,0.0
AstCC,0.0
apolpp,0.0
app,0.0
aralar1,0.0
Arc1,0.0
Arf51F,0.0
Argk,0.0
Arp2,0.0
aru,0.0
CG30463,0.0
CG30466,0.0
CG30491,0.0
CG31036,0.0
CG1792,0.0
CG17985,0.0
CG18012,0.0
CG18067,0.0
CG30156,0.0
CG30157,0.0
CG30158,0.0
CG30271,0.0
CG30285,0.0
CG30356,0.0
CG30419,0.0
CG30428,0.0
CG30001,0.0
CG30020,0.0
CG30022,0.0
CG30053,0.0
CG30060,0.0
CG30069,0.0
CG3009,0.0
CG30116,0.0
CG2658,0.0
CG2837,0.0
CG2852,0.0
CG2865,0.0
CG2889,0.0
CG2938,0.0
CG2982,0.0
CG2993,0.0
CG31125,0.0
CG31157,0.0
CG31176,0.0
CG31195,0.0
CG31221,0.0
CG31224,0.0
CG31248,0.0
CG31251,0.0
CG2162,0.0
CG2201,0.0
CG2202,0.0
CG2209,0.0
CG2225,0.0
CG2247,0.0
CG2269,0.0
CG2556,0.0
CG18599,0.0
CG18809,0.0
CG18815,0.0
CG1983,0.0
CG2004,0.0
CG2023,0.0
CG2064,0.0
CG2082,0.0
CG1809,0.0
CG18135,0.0
CG1815,0.0
CG18208,0.0
CG1824,0.0
CG18528,0.0
CG18577,0.0
CG18598,0.0
CG32075,0.0
CG32112,0.0
CG32113,0.0
CG32163,0.0
CG32195,0.0
CG32196,0.0
CG32204,0.0
CG32243,0.0
CG31815,0.0
CG31817,0.0
CG31904,0.0
CG3191,0.0
CG31957,0.0
CG31974,0.0
CG31997,0.0
CG32017,0.0
CG31674,0.0
CG31676,0.0
CG3168,0.0
CG31705,0.0
CG31706,0.0
CG31759,0.0
CG31760,0.0
CG31814,0.0
CG31324,0.0
CG31345,0.0
CG31368,0.0
CG31457,0.0
CG31510,0.0
CG31523,0.0
CG31637,0.0
CG31638,0.0
CG33080,0.0
CG33143,0.0
CG33158,0.0
CG33230,0.0
CG33260,0.0
CG3328,0.0
CG33293,0.0
CG33298,0.0
CG32732,0.0
CG32808,0.0
CG32813,0.0
CG32816,0.0
CG32856,0.0
CG32982,0.0
CG33052,0.0
CG3308,0.0
CG32457,0.0
CG32506,0.0
CG32532,0.0
CG32547,0.0
CG32625,0.0
CG32683,0.0
CG32698,0.0
CG3270,0.0
CG32280,0.0
CG32284,0.0
CG32365,0.0
CG32368,0.0
CG32369,0.0
CG32373,0.0
CG32392,0.0
CG32432,0.0
CG34357,0.0
CG34367,0.0
CG34371,0.0
CG34384,0.0
CG34393,0.0
CG34402,0.0
CG34417,0.0
CG3511,0.0
CG34219,0.0
CG34232,0.0
CG34247,0.0
CG34347,0.0
CG34348,0.0
CG34353,0.0
CG34354,0.0
CG34355,0.0
CG34113,0.0
CG34114,0.0
CG34126,0.0
CG34133,0.0
CG34134,0.0
