gene,frequency
CG10433,0.0
CG10444,0.0
CG10462,0.0
CG10479,0.0
CG10494,0.0
CG10495,0.0
CG10527,0.0
CG10139,0.0
CG10195,0.0
CG10283,0.0
CG10344,0.0
CG10347,0.0
CG10366,0.0
CG10376,0.0
CG10384,0.0
Ccn,0.0
Ccz1,0.0
CdGAPr,0.0
Cdk2,0.0
cdm,0.0
ced-6,0.0
Cfp1,0.0
CG10126,0.0
Nsun2,0.0
nub,0.0
Nup214,0.0
Nup75,0.0
Nxf3,0.0
oaf,0.0
Oatp58Dc,0.0
obe,0.0
Nplp2,0.0
Nplp3,0.0
Nprl2,0.0
Nprl3,0.0
Nrk,0.0
Nrt,0.0
Nse4,0.0
nsl1,0.0
nonC,0.0
Nos,0.0
Nost,0.0
Not3,0.0
Npc2a,0.0
Npc2b,0.0
NPFR,0.0
Nplp1,0.0
Nha2,0.0
nito,0.0
Nle,0.0
Nlg3,0.0
Nlg4,0.0
Nna1,0.0
noi,0.0
nompB,0.0
park,0.0
pasi1,0.0
pasi2,0.0
PCB,0.0
pcx,0.0
Pcyt2,0.0
Pde11,0.0
Pde1c,0.0
Orct2,0.0
Oseg2,0.0
otk2,0.0
otp,0.0
out,0.0
oys,0.0
Panx,0.0
para,0.0
Oga,0.0
olf186-F,0.0
olf413,0.0
omd,0.0
ome,0.0
Optix,0.0
Or63a,0.0
Orc6,0.0
Obp18a,0.0
Obp57e,0.0
oc,0.0
ocm,0.0
Octbeta1R,0.0
Octbeta3R,0.0
Oct-TyrR,0.0
OdsH,0.0
PK2-R1,0.0
PK2-R2,0.0
Pka-C1,0.0
Pka-C3,0.0
Pka-R1,0.0
Pkc53E,0.0
ple,0.0
PNPase,0.0
PH4alphaEFB,0.0
Phax,0.0
pHCl-1,0.0
pho,0.0
PI4KIIIalpha,0.0
PIG-G,0.0
PIG-S,0.0
PIG-X,0.0
Pdp,0.0
Pdp1,0.0
PEK,0.0
pelo,0.0
Pex1,0.0
Pex10,0.0
pgant2,0.0
pgant5,0.0
Pde6,0.0
Pde8,0.0
Pdf,0.0
Pdfr,0.0
pdgy,0.0
Pdh,0.0
Pdi,0.0
pdm3,0.0
pzg,0.0
Pzl,0.0
qkr58E-1,0.0
RabX5,0.0
Br140,0.0
brat,0.0
brn,0.0
bru3,0.0
Ptpmeg,0.0
Ptx1,0.0
Pura,0.0
Pvf3,0.0
Pvr,0.0
PVRAP,0.0
pyd,0.0
pyr,0.0
PpV,0.0
prage,0.0
pre-rRNA:CR45845,0.0
Proc,0.0
pros,0.0
prt,0.0
Ptp4E,0.0
PTP-ER,0.0
pnt,0.0
Pol32,0.0
porin,0.0
POSH,0.0
Pp1-13C,0.0
Ppa,0.0
ppan,0.0
Ppox,0.0
Rad60,0.0
Ranbp21,0.0
ranshi,0.0
Rassf,0.0
Rbf,0.0
Rbp6,0.0
Rbp9,0.0
Rcd1,0.0
caup,0.0
CBP,0.0
Cbs,0.0
cbt,0.0
CCAP-R,0.0
rad,0.0
Rad17,0.0
rad50,0.0
CAH1,0.0
cal1,0.0
Calr,0.0
Camta,0.0
CAP,0.0
Capa,0.0
Cap-G,0.0
caps,0.0
brun,0.0
bsh,0.0
Btk29A,0.0
btsz,0.0
Bx,0.0
c(3)G,0.0
Ca-alpha1T,0.0
CadN2,0.0
robo2,0.0
Roc1b,0.0
roh,0.0
Rok,0.0
RpI135,0.0
RpL17,0.0
RpL18,0.0
RpL22,0.0
RhoGAP1A,0.0
RhoGEF2,0.0
ric8a,0.0
RIOK1,0.0
RIOK2,0.0
Ripalpha,0.0
rn,0.0
robo1,0.0
Rgk3,0.0
rgn,0.0
Rh2,0.0
Rh3,0.0
Rh7,0.0
rhea,0.0
rho,0.0
RhoGAP102A,0.0
rdgA,0.0
rdgC,0.0
rdo,0.0
Reck,0.0
RecQ5,0.0
RFeSP,0.0
Rfx,0.0
Rgk2,0.0
ru,0.0
RunxA,0.0
RYa-R,0.0
S1P,0.0
SA,0.0
sad,0.0
Saf6,0.0
sage,0.0
RpS21,0.0
RpS23,0.0
RpS3,0.0
RpS5a,0.0
RpS5b,0.0
RpS9,0.0
Rrp42,0.0
rst,0.0
RpL9,0.0
Rpn13R,0.0
rpr,0.0
RpS10b,0.0
RpS13,0.0
RpS15,0.0
RpS17,0.0
RpS19a,0.0
RpL23A,0.0
RpL27,0.0
RpL29,0.0
RpL30,0.0
RpL32,0.0
RpL35,0.0
RpL37A,0.0
RpL41,0.0
Sf3b2,0.0
Sf3b3,0.0
sfl,0.0
Sfmbt,0.0
Sgf11,0.0
shakB,0.0
shams,0.0
Shaw,0.0
Sec5,0.0
Sec8,0.0
sel,0.0
Sema2a,0.0
sesB,0.0
Sesn,0.0
sev,0.0
Sf3a1,0.0
Scr,0.0
scrib,0.0
scro,0.0
scrt,0.0
scyl,0.0
Sdc,0.0
Sec24AB,0.0
Sec31,0.0
salr,0.0
Samuel,0.0
sano,0.0
Sap30,0.0
Sas-6,0.0
Sbf,0.0
sca,0.0
scny,0.0
SMC3,0.0
SMC5,0.0
smg,0.0
smo,0.0
AttC,0.0
Axs,0.0
b,0.0
bab1,0.0
skl,0.0
sli,0.0
Slip1,0.0
SLO2,0.0
Slob,0.0
slou,0.0
SMC1,0.0
SMC2,0.0
Sin3A,0.0
sip3,0.0
Sirt6,0.0
Sirup,0.0
Six4,0.0
siz,0.0
SK,0.0
SKIP,0.0
shg,0.0
shi,0.0
sif,0.0
SIFa,0.0
SIFaR,0.0
simj,0.0
Sin,0.0
Sin1,0.0
Smurf,0.0
Smyd4-1,0.0
Smyd5,0.0
sni,0.0
Snoo,0.0
sNPF,0.0
sNPF-R,0.0
snRNA:7SK,0.0
bin3,0.0
Blm,0.0
blow,0.0
bma,0.0
Bmcp,0.0
bnb,0.0
bon,0.0
br,0.0
beat-Va,0.0
beat-Vb,0.0
beat-Vc,0.0
beat-VI,0.0
beat-VII,0.0
betaTub56D,0.0
bi,0.0
bib,0.0
bab2,0.0
beat-Ib,0.0
beat-Ic,0.0
beat-IIa,0.0
beat-IIb,0.0
beat-IIIb,0.0
beat-IIIc,0.0
beat-IV,0.0
Sry-delta,0.0
Ssadh,0.0
Ssk,0.0
ssp7,0.0
stac,0.0
ste14,0.0
Strn-Mlck,0.0
stum,0.0
spn-A,0.0
Spps,0.0
SPR,0.0
sprt,0.0
Spt20,0.0
squ,0.0
sr,0.0
Src64B,0.0
SoxN,0.0
SP1029,0.0
spab,0.0
spag,0.0
SPARC,0.0
spartin,0.0
spin,0.0
Spn43Ab,0.0
snRNA:U4atac:82E,0.0
Snx16,0.0
snz,0.0
sona,0.0
sosie,0.0
Sox102F,0.0
Sox14,0.0
Sox21b,0.0
THADA,0.0
Thor,0.0
tim,0.0
Timp,0.0
Tis11,0.0
Tk,0.0
TkR86C,0.0
TkR99D,0.0
Tango6,0.0
Tasp1,0.0
Tbc1d15-17,0.0
Tbh,0.0
Tctp,0.0
Tdc2,0.0
Ten-m,0.0
TfAP-2,0.0
svr,0.0
SWIP,0.0
Sytbeta,0.0
Syx4,0.0
Taf6,0.0
Taldo,0.0
tamo,0.0
Tango14,0.0
stumps,0.0
stwl,0.0
sty,0.0
Sulf1,0.0
Su(z)12,0.0
sv,0.0
Svil,0.0
svp,0.0
Try29F,0.0
TSG101,0.0
tsh,0.0
Tsp42Ef,0.0
ana2,0.0
AnxB9,0.0
aop,0.0
aph-1,0.0
TrissinR,0.0
trn,0.0
Trn-SR,0.0
trol,0.0
TrpA1,0.0
Trpgamma,0.0
Trpm,0.0
trv,0.0
toy,0.0
Traf6,0.0
Treh,0.0
Tret1-1,0.0
Trf2,0.0
trh,0.0
Trim9,0.0
Trissin,0.0
Tl,0.0
tld,0.0
tna,0.0
tnc,0.0
Tnks,0.0
tok,0.0
Toll-6,0.0
Topors,0.0
zfh2,0.0
Zip71B,0.0
ZIPIC,0.0
Zir,0.0
zld,0.0
ZnT86D,0.0
Zw10,0.0
alrm,0.0
Usp8,0.0
Utx,0.0
uzip,0.0
wun2,0.0
XRCC1,0.0
5-HT1A,0.0
yip2,0.0
ZC3H3,0.0
Uhg3,0.0
Uhg5,0.0
Uhg8,0.0
unc-13-4A,0.0
upd2,0.0
UQCR-14,0.0
UQCR-Q,0.0
Usp10,0.0
twit,0.0
twz,0.0
U3-55K,0.0
Ufl1,0.0
Ugt,0.0
Ugt35b,0.0
Ugt86Dd,0.0
Uhg1,0.0
Wdr62,0.0
wech,0.0
whd,0.0
wnd,0.0
Wnk,0.0
Wnt4,0.0
wry,0.0
wtrw,0.0
Vps25,0.0
vri,0.0
Vsx1,0.0
vvl,0.0
wapl,0.0
WASp,0.0
wat,0.0
wda,0.0
Vha68-2,0.0
VhaM9.7-c,0.0
vimar,0.0
vir,0.0
vir-1,0.0
vito,0.0
vkg,0.0
Vmat,0.0
Amnionless,0.0
amon,0.0
Amun,0.0
amx,0.0
velo,0.0
vg,0.0
VGAT,0.0
VGlut,0.0
