model,MAE_median,MAE_lo,MAE_hi,RMSE_median,RMSE_lo,RMSE_hi,MedAE_median,MedAE_lo,MedAE_hi,R2_median,R2_lo,R2_hi,Pearson_median,Pearson_lo,Pearson_hi,Spearman_median,Spearman_lo,Spearman_hi
Dummy,6.304436998093477,6.251067856992157,6.311889768328615,9.908192155329559,9.712940513749096,9.911155114161488,5.192096597145993,5.190998902305159,5.208447613823368,-2.568396986712962e-05,-3.480683348122682e-05,-2.038258180792063e-05,,,,,,
LinearRegression,4.231520136955274,4.16556752227903,4.338170005118725,6.320143609737031,6.174374266262853,6.482002219806583,3.064382537186553,2.9086841742661846,3.1369834941517496,0.5880079979119284,0.5719991554747309,0.6054326810891446,0.7680874124618264,0.756659421012149,0.7796823976674431,0.7069670341261376,0.6887558607678578,0.7199300537257979
ElasticNet,4.128525953872849,4.059334754341019,4.232505624066352,6.228581364506806,6.101191957370658,6.390511280441706,2.9060472722692534,2.807828895848863,3.017928245328113,0.5977473449335984,0.5796770947935095,0.6150415195662475,0.7737144918102696,0.7651676657746634,0.78567983032047,0.718311261951702,0.7054311350403918,0.7336677209997474
SVR,3.4401060797592438,3.3905262361979136,3.5420197863866774,5.72552300961766,5.660840390534639,5.800206698684992,2.0723200994069906,2.030048531821298,2.117002135260362,0.6575105115479096,0.6414294111972085,0.6710526622444054,0.8161060127060077,0.8053810027159907,0.8244620283422752,0.7730558562196881,0.7625590253111141,0.7857721995543115
RandomForest,2.9798371065070497,2.949045841180894,3.0071687297927023,5.552009060940044,5.3207496226035795,5.768598083031683,1.584607910184503,1.5272268683755705,1.6198086194048038,0.6846918063709596,0.6538718925260945,0.7043897420763477,0.8299584346179167,0.8094287980214201,0.8428521036048093,0.8355389773035025,0.8261663225612951,0.8454795962182673
RandomForest_authors,4.165637617788367,4.077662168720597,4.2391963108018,6.6603585318097265,6.483921476870939,6.996683561007948,2.725543169271328,2.499255425829868,2.924202481378825,0.535448014595183,0.4826096028222775,0.5717456642764143,0.7335498034048489,0.6958160130464283,0.7621647176187353,0.6217341233662347,0.583620487433084,0.6497144178865234
XGBoost,2.920421885258085,2.8695673549265943,2.969158884150123,5.1828117282809005,5.102315518215901,5.337420543146774,1.5976805686950684,1.554491400718689,1.6354084014892578,0.720509269099798,0.6975301309254818,0.7342048685824409,0.8521261585400208,0.835644057544841,0.8636915441489343,0.8334049582838742,0.811663223974889,0.8443883890951801
