model,MAE_median,MAE_lo,MAE_hi,RMSE_median,RMSE_lo,RMSE_hi,MedAE_median,MedAE_lo,MedAE_hi,R2_median,R2_lo,R2_hi,Pearson_median,Pearson_lo,Pearson_hi,Spearman_median,Spearman_lo,Spearman_hi
Dummy,6.923929624215302,6.912089046231201,6.936122556276375,10.621090852623741,10.602124517225352,10.670015744971348,5.658876669285153,5.653770620581304,5.664571877454831,-5.8135070777343145e-06,-7.114845653299895e-06,-3.418889615858234e-10,,,,,,
LinearRegression,5.332997628440578,5.225249232595776,5.625685589020155,7.6564755817982055,7.613281678305773,9.06862655173705,3.824376149874233,3.715175969290133,4.0721002158591375,0.4784750471423418,0.2776370880599457,0.4894620985118264,0.7344912662838207,0.6741382789381571,0.748775904584912,0.6492285161214412,0.6230758972760665,0.6617658247599294
ElasticNet,4.0841947996552435,4.008692082520273,4.169150341156434,6.686427939182286,6.583278692688085,6.811440176605285,2.553706151932018,2.481864567350006,2.597007720287155,0.6036762582103741,0.588634642129825,0.6144313008552212,0.8147999310820453,0.7962586325862548,0.8213676404790052,0.7763509076687707,0.7617848434876482,0.797932628915861
SVR,4.554573667680819,4.513247512303804,4.6284460170809965,9.692857539626262,9.642348485037974,9.759909912959696,1.6701172535039648,1.5825556945746992,1.7122714244197441,0.16518678866660808,0.1633110714829542,0.17285254940785877,0.6015180480852338,0.5913385126875943,0.6091575183700213,0.8627923849822959,0.8458074171661328,0.8845219047404392
RandomForest,2.688664571877455,2.577274155538099,2.8447604084838964,5.225615281167511,4.665431927139373,5.760559892487977,1.2800000000000002,1.1600000000000001,1.33,0.7601458316591228,0.7047889106148184,0.8088139861962376,0.874683717953508,0.8420278496162577,0.9027068048799252,0.880057183612232,0.8589251780759638,0.8849731947908089
RandomForest_authors,3.8252884549138018,3.7069087734499746,4.17885264871307,6.565396448160544,6.180523781379812,7.584963189083297,2.289622963949752,2.141591198466268,2.3469438198678296,0.621388051210003,0.4881882764631027,0.6601651977773676,0.790174077435351,0.6991240571665212,0.8170076130456746,0.7131512291615332,0.7085246353623453,0.740910692808171
XGBoost,2.7811511840151137,2.64206326773715,2.8478637609911757,4.987505939919232,4.680893254373631,5.41283651738707,1.2976946830749512,1.263843059539795,1.3298959732055664,0.7786986105146623,0.7393527810135487,0.8075446985203688,0.8827379694220203,0.8609147974329969,0.8993793547035918,0.8698821226219777,0.8487543323615618,0.8785297719199707
