model,MAE_median,MAE_lo,MAE_hi,RMSE_median,RMSE_lo,RMSE_hi,MedAE_median,MedAE_lo,MedAE_hi,R2_median,R2_lo,R2_hi,Pearson_median,Pearson_lo,Pearson_hi,Spearman_median,Spearman_lo,Spearman_hi
Dummy,9.72772549163218,9.590022172949004,10.008869179600888,12.990610601305788,12.872491256711466,13.616428961877487,8.753799392097264,8.718181818181819,8.842424242424242,-0.0001079462500652717,-0.0008126818228628707,-3.566378445163387e-05,,,,,,
LinearRegression,6.26362906123997,6.135861375992209,6.489437392095586,8.474160924166462,8.438907487831003,8.839841644442455,4.35629013956498,3.9702787210640906,5.572223046796736,0.5750971111886004,0.5414148508168672,0.6125441520913155,0.7594016546615587,0.7388249314933018,0.7868432663590065,0.6531767080352759,0.6415721569713971,0.8077552301583046
ElasticNet,6.74681381320306,5.78081023121276,7.263431090869471,9.669281105668077,8.829867710144864,10.01581808754318,4.314685553599247,3.7148262036288067,5.274987188473064,0.4889780273744416,0.41128666637785427,0.5290920928834788,0.7251881948660736,0.6458228781994402,0.7569670103204693,0.7327269385458599,0.629456281308725,0.8273887048951476
SVR,7.835978929761981,7.379053531781942,7.915331076295267,13.382360807376367,12.998026016238219,13.864327475896646,3.294432550869632,2.642715555183379,3.631779468850686,-0.0449100353055194,-0.10126666317545263,-0.020428060481023413,0.4059109411816896,0.2942271739365886,0.5343365524656372,0.5581292333290392,0.37183228204237434,0.7285167272557057
RandomForest,5.953855421686747,5.213780487804878,6.447073170731707,9.065544997271866,8.568619618624385,9.13216584453262,3.57,3.05,4.0,0.5140486744262365,0.5036186856905205,0.5764283878122212,0.7591942398348335,0.7550872780980935,0.8392194639831503,0.7830231996297969,0.7472318623975045,0.8645592644726791
RandomForest_authors,7.290484006654521,6.5598061053496854,8.000305589188905,10.643754847131163,9.56294156470189,11.670958778798894,4.498812461607496,3.8276352103732645,5.12450817406185,0.3351544868062747,0.19174804968385362,0.4580596875254739,0.6105846765280877,0.4405821320178671,0.7044281819283439,0.6623538373169278,0.5131792244751733,0.701488538488791
XGBoost,5.956884819696226,5.216752072404389,6.257958788470161,9.285225794345319,8.852435237475378,9.976921126001837,3.244701862335205,2.4942662715911865,3.70841383934021,0.5249220035759936,0.3987976540633028,0.5349933032380312,0.7272726897154174,0.6366727148741942,0.7387577247152579,0.7063911239667863,0.6558682389356599,0.810703844262428
