model,MAE_median,MAE_lo,MAE_hi,RMSE_median,RMSE_lo,RMSE_hi,MedAE_median,MedAE_lo,MedAE_hi,R2_median,R2_lo,R2_hi,Pearson_median,Pearson_lo,Pearson_hi,Spearman_median,Spearman_lo,Spearman_hi
Dummy,17.331625686401388,17.314148568777107,17.338722751838905,19.270438757169792,19.241069930401164,19.27086041117808,17.243209360635188,17.229837024655243,17.24905975762641,-7.498989369025821e-06,-8.590864457813652e-06,-5.081658811523226e-06,,,,,,
LinearRegression,7.791619707485428,7.721988640414024,7.8837724850313995,9.963623779541066,9.852118415582035,10.092920609098208,6.339722565842957,6.189295799606834,6.5296288712780095,0.7329472116343287,0.7258459142529138,0.7378179124192839,0.8565464101613596,0.852571919777412,0.8589665641622857,0.850523351393657,0.84096616319189,0.8557910510650452
ElasticNet,7.772049021931408,7.674507307303104,7.85707425948607,9.92216976345002,9.840458412208825,10.096338779821377,6.142867154002471,6.080857965579058,6.435420482258834,0.7336128763961379,0.7254957996410161,0.738837969179027,0.8567135614005427,0.8537203220781509,0.8600554098652284,0.8536974704777964,0.8465672243956475,0.8607221650368418
SVR,6.500105514491724,6.336144843787645,6.549927927478476,8.925661242721572,8.764075108990905,8.992972135808117,4.421378911705435,4.291605462469985,4.4737532590934554,0.7848087685618936,0.781626846834638,0.7931605632798355,0.8872397938576594,0.8841789217182032,0.8910909288137328,0.8881127011608171,0.8788122932107032,0.8941674085328994
RandomForest,5.877548794062795,5.7709687296697565,6.008763806446937,8.493010934818935,8.400222308627589,8.58162002714532,3.931041391305439,3.8220103379328108,4.017937886056103,0.8051649275301875,0.80073157689221,0.8093989318226743,0.9012215536553814,0.896657768425631,0.9028328106961416,0.9031023416325497,0.8981532493725313,0.9059426916514984
RandomForest_authors,8.71911720720909,8.617023716908134,8.87041544402525,11.508535968493872,11.377966386224555,11.711646077237967,6.6567203179311,6.2586217935788575,6.9807373198251765,0.642907743897331,0.6295073043253958,0.6513976275941709,0.8076666008321582,0.7990005064740618,0.8147285660772174,0.7902396711260238,0.780247536925116,0.8109917297715932
XGBoost,5.8412017366096665,5.76181942281659,5.884288332113579,8.251752962155448,8.182384254378404,8.301151273332433,3.8511219024658203,3.7612627744674683,3.889150023460388,0.8165630949542952,0.8143056316295477,0.8198964732371982,0.9050578235927484,0.9035182167271061,0.908168734369472,0.9021980493687043,0.899979254030864,0.9077966314642124
