gene,frequency
CR46055,0.0
CR46007,0.0
CR45994,0.0
CR45938,0.0
CR45926,0.0
CR45922,0.0
CR45914,0.0
CR45907,0.0
CR45897,0.0
CR45889,0.0
CR45875,0.0
CR46093,0.0
Cyp9h1,0.0
Cyp6w1,0.0
Cyp6v1,0.0
Cyp6g2,0.0
Cyp6a23,0.0
Cyp6a22,0.0
Cyp6a20,0.0
Cyp6a2,0.0
Cyp6a19,0.0
Cyp6a17,0.0
Cyp6a15Psi,0.0
Cyp6a14,0.0
Cyp4g15,0.0
Cyp4d14,0.0
Cralbp,0.0
Cyp313a4,0.0
Cyp311a1,0.0
Cyp28a5,0.0
Cyp12a4,0.0
CycH,0.0
cv-c,0.0
cv-2,0.0
cutlet,0.0
Culd,0.0
Cubn,0.0
ctp,0.0
Ctf4,0.0
Csas,0.0
CrebA,0.0
Cyp4ac3,0.0
CR45378,0.0
CR45321,0.0
CR45312,0.0
CR45298,0.0
CR45281,0.0
CR45279,0.0
CR45267,0.0
CR45264,0.0
CR45251,0.0
CR45233,0.0
CR45223,0.0
CR45217,0.0
CR45214,0.0
CR45213,0.0
CR45819,0.0
CR45200,0.0
CR45196,0.0
CR45195,0.0
CR45190,0.0
CR45187,0.0
CR45177,0.0
CR45175,0.0
CR45162,0.0
CR45161,0.0
CR45160,0.0
CR45150,0.0
CR45141,0.0
CR45139,0.0
CR45132,0.0
CR45209,0.0
CR45808,0.0
CR45798,0.0
CR45737,0.0
CR45736,0.0
CR45732,0.0
CR45679,0.0
CR45621,0.0
CR45618,0.0
CR45615,0.0
CR45614,0.0
CR45611,0.0
CR45600,0.0
CR45596,0.0
CR45588,0.0
CR45388,0.0
CR45577,0.0
CR45566,0.0
CR45540,0.0
CR45517,0.0
CR45501,0.0
CR45482,0.0
CR45478,0.0
CR45474,0.0
CR45473,0.0
CR45463,0.0
CR45458,0.0
CR45444,0.0
CR45433,0.0
CR45404,0.0
CR45582,0.0
Ets96B,0.0
Ets65A,0.0
Ets21C,0.0
E(spl)mbeta-HLH,0.0
E(spl)malpha-BFM,0.0
E(spl)m8-HLH,0.0
E(spl)m6-BFM,0.0
E(spl)m5-HLH,0.0
E(spl)m3-HLH,0.0
E(spl)m2-BFM,0.0
en,0.0
ems,0.0
emp,0.0
d,0.0
elg1,0.0
Elal,0.0
Eip75B,0.0
Eip71CD,0.0
egr,0.0
Egm,0.0
Efhc1.1,0.0
eEF1alpha2,0.0
edl,0.0
edin,0.0
ec,0.0
EbpIII,0.0
Eaat2,0.0
Eaat1,0.0
Elp3,0.0
fred,0.0
FoxP,0.0
form3,0.0
fok,0.0
fog,0.0
fne,0.0
FMRFa,0.0
Fmo-1,0.0
flw,0.0
fln,0.0
fkh,0.0
FK506-bp1,0.0
fj,0.0
Fife,0.0
euc,0.0
Fhos,0.0
Fer2,0.0
Fer1,0.0
feo,0.0
fend,0.0
fd102C,0.0
fax,0.0
Fas3,0.0
Fas2,0.0
fal,0.0
fabp,0.0
fa2h,0.0
eys,0.0
Mdr49,0.0
Fib,0.0
Dlg5,0.0
Dl,0.0
disco-r,0.0
disco,0.0
DIP-theta,0.0
DIP-eta,0.0
DIP-epsilon,0.0
DIP-delta,0.0
DIP-beta,0.0
Dip-B,0.0
DIP-alpha,0.0
Dhap-at,0.0
Dh44,0.0
Dh31,0.0
E23,0.0
dgt2,0.0
dgrn,0.0
Df31,0.0
defl,0.0
Ddc,0.0
Dcr-1,0.0
Dbi,0.0
daw,0.0
dati,0.0
DAT,0.0
Dat,0.0
dally,0.0
dah,0.0
D,0.0
dgt5,0.0
e,0.0
dysc,0.0
dve,0.0
dUTPase,0.0
dsx-c73A,0.0
Dsk,0.0
Dscam2,0.0
dsb,0.0
Drs,0.0
Dro,0.0
Drip,0.0
Drep3,0.0
Drat,0.0
Dr,0.0
dmt,0.0
dpr9,0.0
dpr8,0.0
dpr6,0.0
dpr21,0.0
dpr17,0.0
dpr13,0.0
dpr10,0.0
dpr1,0.0
DopEcR,0.0
Dop2R,0.0
Doc3,0.0
DNApol-epsilon255,0.0
DNApol-alpha73,0.0
DNApol-alpha50,0.0
dpy,0.0
SoxN,0.0
Sox21b,0.0
Sox102F,0.0
sosie,0.0
sona,0.0
sog,0.0
sofe,0.0
Sodh-2,0.0
Sobp,0.0
so,0.0
sNPF,0.0
Snp,0.0
snoRNA:Psi28S-3385b,0.0
CR45134,0.0
snoRNA:Psi28S-2562,0.0
snoRNA:Psi28S-2444,0.0
snoRNA:Psi28S-2442b,0.0
snoRNA:Psi28S-1175c,0.0
snoRNA:Psi28S-1153,0.0
snoRNA:Psi18S-841a,0.0
snoRNA:Psi18S-525g,0.0
snoRNA:Psi18S-1377a,0.0
snoRNA:Or-CD2,0.0
snoRNA:Or-CD12,0.0
snoRNA:Or-aca1,0.0
snoRNA:Me18S-G1189,0.0
snoRNA:Edc3-a,0.0
snoRNA:CG32479-a,0.0
snoRNA:Psi28S-3091a,0.0
SteXh:CG42398,0.0
stet,0.0
ste24b,0.0
stai,0.0
stac,0.0
Ssu72,0.0
Ssrp,0.0
ssp7,0.0
ss,0.0
sqz,0.0
sprt,0.0
spri,0.0
SPR,0.0
Spn55B,0.0
Sp1,0.0
Spn43Aa,0.0
Spn42Da,0.0
Spn31A,0.0
spir,0.0
Spindly,0.0
spel1,0.0
spdo,0.0
Spc25,0.0
Spat,0.0
SPARC,0.0
spab,0.0
Sp7,0.0
SP2637,0.0
SP1029,0.0
Spn43Ad,0.0
Sec71,0.0
se,0.0
Sdr,0.0
sda,0.0
scyl,0.0
scrt,0.0
scro,0.0
scrib,0.0
Scp2,0.0
Scp1,0.0
scny,0.0
scf,0.0
sced,0.0
snoRNA:2R:9445205,0.0
Sas-6,0.0
Sap47,0.0
santa-maria,0.0
sano,0.0
sals,0.0
salr,0.0
salm,0.0
S1P,0.0
S,0.0
rush,0.0
rumi,0.0
rtet,0.0
RpS5b,0.0
RpL22,0.0
scaf,0.0
